Index,Names in References,SMILES,SMILES withous Bridge Linkers,Scaffolds,Kinase Targets,Types,Binding Affinities,References
MKI-1,7a,NC1=NC=C2C3=C(NN=C3CCOC(C=CC(F)=C4)=C4COC1=C2)C#N,NC1=NC=C(C=C1OCC2=CC=CC(F)=C2)C3=C(NN=C3)C#N,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,0.36/1.6,10.1021/jm500261q
MKI-2,7b,NC1=NC=C2C3=C(NN=C3CCCOC(C=CC(F)=C4)=C4COC1=C2)C#N,NC1=NC=C(C=C1OCC2=CC=CC(F)=C2)C3=C(NN=C3)C#N,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,0.22/<0.1,10.1021/jm500261q
MKI-3,7c,NC1=NC=C(C=C1OCC2=C(OCCC3)C=CC(F)=C2)C4=C3C=NN4C,NC1=NC=C(C=C1OCC2=CC=CC(F)=C2)C3=CC=NN3C,c1ccc(cc1)COc1cncc(c1)c1ccn[nH]1,ALK/ALK-L1196M (Ki (nM)),Type-I,3.8/29,10.1021/jm500261q
MKI-4,7d,NC1=NC=C(C=C1OCC2=C(OCCCC3)C=CC(F)=C2)C4=C3C=NN4C,NC1=NC=C(C=C1OCC2=CC=CC(F)=C2)C3=CC=NN3C,c1ccc(cc1)COc1cncc(c1)c1ccn[nH]1,ALK/ALK-L1196M (Ki (nM)),Type-I,5.0/36,10.1021/jm500261q
MKI-5,7e,NC1=NC=C2C3=C(NN=C3CCOC(C=CC(F)=C4)=C4[C@@H](C)OC1=C2)C#N,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=C(NN=C3)C#N,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.1/0.57,10.1021/jm500261q
MKI-6,7f,NC1=NC=C2C3=C(NN=C3CCCOC(C=CC(F)=C4)=C4[C@@H](C)OC1=C2)C#N,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=C(NN=C3)C#N,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.1/0.62,10.1021/jm500261q
MKI-7,8a,NC1=NC=C2C(C(C)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=C2)=O,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3C,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.2/0.29,10.1021/jm500261q
MKI-8,8b,NC1=NC=C2C(C(C)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@H](C)OC1=C2)=O,NC1=NC=C(C=C1O[C@@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3C,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,17.0/61.0,10.1021/jm500261q
MKI-9,8c,NC1=NC=C2C(C(C)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4COC1=C2)=O,NC1=NC=C(C=C1OCC2=CC=CC(F)=C2)C3=CN(C)N=C3C,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.2/1.9,10.1021/jm500261q
MKI-10,8d,NC1=NC=C2C(C(C)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=N2)=O,NC1=NC=C(N=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3C,c1ccc(cc1)COc1cncc(n1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.2/0.1,10.1021/jm500261q
